,Pd_centers,Pd_edges,Pd_fit,Pd_fit_points,Pd_pdf,Pg_centers,Pg_edges,Pg_fit,Pg_fit_points,Pg_pdf,x_centers,x_edges,x_fit,x_fit_points,x_pdf
0,0.9586018957345971,0.1,0.0179478016380893,0.1,0.026280709541487896,9.943359375,0.1,0.04253940491274594,0.1,0.029408017444301257,0.0038960655737704914,0.0001,28.90369034337365,0.0001,0.029408017444301257
1,2.675805687203791,1.8172037914691943,0.026782227146785034,0.9586018957345971,0.042946525348285094,29.630078125000004,19.786718750000002,0.03205649776704312,9.943359375,0.0031452425074118993,0.011488196721311475,0.007692131147540983,25.356764908784143,0.0038960655737704914,0.0031452425074118993
2,4.393009478672986,3.5344075829383885,0.03260754702369795,1.8172037914691943,0.04358751826393114,49.31679687500001,39.4734375,0.005682708684889128,19.786718750000002,0.004403339510376658,0.019080327868852456,0.015284262295081966,20.850786923730563,0.007692131147540983,0.004403339510376658
3,6.11021327014218,5.251611374407583,0.04545173932693506,2.675805687203791,0.056086880119029056,69.003515625,59.16015625000001,0.0023798241919004317,29.630078125000004,0.0020444076298177355,0.02667245901639344,0.02287639344262295,17.609317566679497,0.011488196721311475,0.0020444076298177355
4,7.827417061611373,6.9688151658767765,0.04326464775827237,3.5344075829383885,0.058330355323790224,88.69023437499999,78.846875,0.003669449591980553,39.4734375,0.0014153591283353549,0.034264590163934426,0.030468524590163932,15.41226939579002,0.015284262295081966,0.0014153591283353549
5,9.544620853080568,8.68601895734597,0.042301746169852814,4.393009478672986,0.06281730573331248,108.376953125,98.53359375,0.004989556457388185,49.31679687500001,0.0014153591283353538,0.041856721311475414,0.03806065573770492,13.56753458586711,0.019080327868852456,0.0014153591283353538
6,11.261824644549762,10.403222748815166,0.04905347714590322,5.251611374407583,0.0496769509625686,128.063671875,118.2203125,0.0027923616407266576,59.16015625000001,0.001729883379076546,0.049448852459016396,0.045652786885245905,11.911959650218074,0.02287639344262295,0.001729883379076546
7,12.979028436018957,12.12042654028436,0.05757029517545255,6.11021327014218,0.04486950409522325,147.750390625,137.90703125,0.0019503467466276765,69.003515625,0.00031452425074118975,0.05704098360655738,0.053244918032786887,10.587014627057806,0.02667245901639344,0.00031452425074118975
8,14.69623222748815,13.837630331753553,0.05718662286646096,6.9688151658767765,0.031729149324479296,167.437109375,157.59375,0.0016726971516690535,78.846875,0.0004717863761117846,0.06463311475409836,0.06083704918032787,9.323552415958888,0.030468524590163932,0.0004717863761117846
9,16.413436018957345,15.554834123222747,0.05807619255549488,7.827417061611373,0.032370142240125306,187.123828125,177.28046875,0.00135102462250193,88.69023437499999,0.0,0.07222524590163934,0.06842918032786885,8.252135287581726,0.034264590163934426,0.0
10,18.13063981042654,17.272037914691943,0.060490738854300966,8.68601895734597,0.02788319183060299,206.810546875,196.9671875,0.0014153591283353531,98.53359375,0.0015726212537059486,0.07981737704918032,0.07602131147540983,7.606933966403773,0.03806065573770492,0.0015726212537059486
11,19.847843601895736,18.98924170616114,0.06523335595382447,9.544620853080568,0.01666581580679719,226.497265625,216.65390625,0.0013799751501269674,108.376953125,0.001100834877594164,0.0874095081967213,0.08361344262295081,7.070798498387501,0.041856721311475414,0.001100834877594164
12,21.565047393364928,20.706445497630334,0.05547967173027607,10.403222748815166,0.020191276842850485,246.18398437500002,236.34062500000002,0.0015568950411688823,118.2203125,0.00047178637611178524,0.0950016393442623,0.09120557377049181,6.135064608539088,0.045652786885245905,0.00047178637611178524
13,23.282251184834124,22.423649289099526,0.04885775743542016,11.261824644549762,0.0112173760238058,265.870703125,256.02734375,0.0020725333560859386,128.063671875,0.0,0.10259377049180328,0.09879770491803279,5.188410265329612,0.049448852459016396,0.0
14,24.99945497630332,24.14085308056872,0.04715100430345494,12.12042654028436,0.01185836893945187,285.55742187500005,275.7140625,0.0005322718089466189,137.90703125,0.0,0.11018590163934426,0.10638983606557377,5.8581976302667895,0.053244918032786887,0.0
15,26.71665876777251,25.858056872037913,0.0462234487794667,12.979028436018957,0.008332907903398594,305.244140625,295.40078125,0.0002443611486527714,147.750390625,0.00015726212537059487,0.11777803278688524,0.11398196721311475,6.06119487805988,0.05704098360655738,0.00015726212537059487
16,28.433862559241707,27.57526066350711,0.03717222515001765,13.837630331753553,0.0044869504095223205,324.93085937500007,315.08750000000003,0.0003774291008894219,157.59375,0.0,0.1253701639344262,0.12157409836065573,7.828852513471117,0.06083704918032787,0.0
17,30.1510663507109,29.292464454976304,0.03028905749478348,14.69623222748815,0.005127943325168377,344.617578125,334.77421875000005,0.0006133222889453211,167.437109375,0.0,0.1329622950819672,0.1291662295081967,11.46941164688495,0.06463311475409836,0.0
18,31.868270142180094,31.009668246445496,0.03204644081772404,15.554834123222747,0.002884468120407212,364.30429687500003,354.46093750000006,0.0,177.28046875,0.0006290485014823813,0.14055442622950817,0.13675836065573768,7.966835447556602,0.06842918032786885,0.0006290485014823813
19,33.58547393364928,32.72687203791469,0.03305370322253643,16.413436018957345,0.0032049645782302287,383.99101562500005,374.14765625,0.0,187.123828125,0.0,0.14814655737704915,0.14435049180327866,6.534054195678558,0.07222524590163934,0.0
20,35.302677725118485,34.444075829383884,0.029959599732882,17.272037914691943,0.0022434752047611603,403.677734375,393.834375,0.0,196.9671875,0.0006290485014823795,0.15573868852459014,0.15194262295081964,4.920340869044048,0.07602131147540983,0.0006290485014823795
